,tag,name,cardsEarned,wins,Points
1,#LG9JQQG82,HENRIQUE PH,3465,4,15
0,#202YUCQQL,MysterClash,3727,3,10
14,#92C9JP0V8,anthoni,3149,3,10
6,#2092L02L0,Victor,4076,3,7
2,#2JR98YPR8,Noe,4654,2,7
3,#GC9U0V2R,Salviano,2520,2,7
4,#LJPPJQR80,Maria,3360,2,5
5,#92Y8U0PP,david,1400,1,5
11,#8VV2YUL0L,Anthoniel,3709,2,0
12,#2VJRYUYGG,Anakin,3709,2,0
10,#PLU9LP908,shelby,3640,2,0
13,#YVGCL8P9J,ninja,3080,2,0
7,#8Y2RRRJUU,Cคмเlคッ,2800,2,0
16,#99PRPLQU,Morena,1995,2,0
8,#8GJYY0Y2Q,Dr. Estranho,1434,2,0
20,#RCJ9GP90,alf,560,2,0
9,#YGQU2LVGR,J TITO,4567,1,0
21,#2PUYJURRG,SUA MÃE E MINHA,4480,1,0
22,#2VL2G9VCU,Sua mãe,4200,1,0
15,#R0JP82GQ,Alisson,3360,1,0
25,#9VLVP9U9Y,leo gamer,3360,1,0
26,#QLRGULGUG,ANDREY♤,3080,1,0
29,#LVUUVU8V,PATO69,2800,1,0
19,#89GJQPYU0,mateusclash,1155,1,0
17,#RP9V8GUC,AleeexP1,1120,1,0
18,#RY9V9VQ,Kakakaka Klaus,1049,1,0
24,#L2VLQU9UJ,Samuel Clash ON,3920,0,0
23,#228VQ0LC0,SnooP,2800,0,0
28,#8LJRLGPRV,cr7magico,2800,0,0
30,#2QVLP9GJP,VL CHAVE,2800,0,0
32,#QJPRLC002,Nicolas ◇ game,2520,0,0
27,#PJCY0PC0,Manoel,1680,0,0
31,#LPPUJLUQL,mell_nm,1120,0,0
33,#8YRJ8P80J,CRUCIATUS,1120,0,0
34,#QRQVP0U8L,NOBRU,840,0,0
35,#20QULQU9V,netodiniz,560,0,0
38,#PV220VRPJ,Tutzz-_-,280,0,0
36,#LQ0QLLCL0,King,262,0,0
