,tag,name,role,expLevel,trophies,donations
11,#202YUCQQL,MysterClash,elder,12,4619,360
5,#2VJRYUYGG,Anakin,member,13,4868,289
2,#2JR98YPR8,Noe,member,13,4967,272
16,#LJPPJQR80,Maria,elder,11,4551,176
3,#8GJYY0Y2Q,Dr. Estranho,member,13,4901,146
19,#PLU9LP908,shelby,elder,11,4542,136
23,#YVGCL8P9J,ninja,member,10,4516,118
29,#2PUYJURRG,SUA MÃE E MINHA,member,10,4444,108
22,#8Y2RRRJUU,Cคмเlคッ,member,11,4522,94
13,#YGQU2LVGR,J TITO,member,11,4602,92
43,#9VLVP9U9Y,leo gamer,member,9,4032,92
42,#2QVLP9GJP,VL CHAVE,member,9,4132,86
6,#RP9V8GUC,AleeexP1,member,12,4758,86
38,#LVUUVU8V,PATO69,member,9,4199,86
34,#PV220VRPJ,Tutzz-_-,member,9,4256,80
35,#QJPRLC002,Nicolas ◇ game,member,10,4234,78
12,#89GJQPYU0,mateusclash,elder,11,4609,54
10,#LG9JQQG82,HENRIQUE PH,member,11,4650,52
21,#2RCJY0VVL,P.O.K.E,member,9,4533,51
31,#2VL2G9VCU,Sua mãe,member,10,4326,50
40,#LPPUJLUQL,mell_nm,member,9,4167,48
8,#99PRPLQU,Morena,member,12,4690,48
1,#2092L02L0,Victor,member,12,5011,38
14,#8YRJ8P80J,CRUCIATUS,member,12,4583,30
39,#GC9U0V2R,Salviano,member,11,4172,28
36,#QRCGJ89JP,HUGO,member,9,4226,28
32,#R0JP82GQ,Alisson,member,10,4312,28
37,#2U2C0LQR2,James_Br,member,12,4202,20
28,#RCJ9GP90,alf,member,10,4454,20
25,#228VQ0LC0,SnooP,elder,12,4504,10
27,#L2VLQU9UJ,Samuel Clash ON,member,10,4470,8
9,#8VV2YUL0L,Anthoniel,elder,10,4667,8
15,#92C9JP0V8,anthoni,member,11,4557,4
33,#YRUQ0GUJC,pykeno,elder,12,4269,0
30,#29QJQLYRU,ERB,member,13,4426,0
26,#QLRGULGUG,ANDREY♤,member,9,4502,0
24,#20QULQU9V,netodiniz,member,10,4507,0
20,#208PJJ0LR,ramon,member,10,4536,0
18,#8LJRLGPRV,cr7magico,member,9,4546,0
17,#QV9L809PV,BORUTO UZUMAKI,member,9,4549,0
41,#989LC82PC,Pelé_do_RS,member,11,4153,0
44,#RY9V9VQ,Kakakaka Klaus,member,9,3937,0
45,#LQ0QLLCL0,King,member,8,3859,0
46,#L2V9VGJQL,Sabrina,member,8,3177,0
